epoch,train_loss,val_loss,val_dice,val_iou,lr,time_min
1,0.7529,0.8215,0.0850,0.0793,0.000100,3.10
2,0.7130,0.7682,0.1753,0.1646,0.000100,2.84
3,0.6726,0.7051,0.2493,0.2335,0.000100,2.82
4,0.6334,0.6624,0.3120,0.2933,0.000100,3.03
5,0.5867,0.5908,0.3770,0.3562,0.000100,2.87
6,0.5502,0.5655,0.4272,0.4006,0.000100,3.03
7,0.5208,0.5079,0.4826,0.4518,0.000100,2.99
8,0.4964,0.4642,0.5253,0.4953,0.000100,2.83
9,0.4681,0.4366,0.5620,0.5231,0.000100,2.86
10,0.4273,0.4364,0.5956,0.5554,0.000100,2.80
11,0.4235,0.3903,0.6237,0.5803,0.000100,2.82
12,0.3922,0.3959,0.6448,0.6002,0.000100,2.94
13,0.3650,0.3713,0.6735,0.6255,0.000100,2.81
14,0.3368,0.3458,0.6979,0.6571,0.000100,2.91
15,0.3257,0.3247,0.7218,0.6774,0.000100,2.93
16,0.3060,0.3060,0.7381,0.6886,0.000100,2.90
17,0.2993,0.2780,0.7501,0.7038,0.000100,2.95
18,0.3010,0.2668,0.7645,0.7204,0.000100,3.01
19,0.2934,0.2558,0.7789,0.7319,0.000100,3.10
20,0.2625,0.2440,0.7840,0.7347,0.000100,3.08
21,0.2725,0.2373,0.8028,0.7518,0.000100,2.95
22,0.2498,0.2287,0.8098,0.7606,0.000100,3.01
23,0.2370,0.2271,0.8076,0.7522,0.000100,2.85
24,0.2331,0.2082,0.8250,0.7764,0.000100,3.12
25,0.2373,0.2246,0.8183,0.7611,0.000100,2.95
26,0.2254,0.2078,0.8211,0.7691,0.000100,2.94
27,0.2192,0.2281,0.8420,0.7921,0.000100,2.84
28,0.1945,0.2083,0.8404,0.7895,0.000100,2.86
29,0.2066,0.2138,0.8446,0.7858,0.000100,3.05
30,0.2081,0.1851,0.8504,0.7958,0.000100,3.10
31,0.1934,0.1939,0.8483,0.7939,0.000100,2.82
32,0.1735,0.1867,0.8517,0.7955,0.000050,2.91
33,0.1853,0.1991,0.8586,0.8034,0.000050,3.07
34,0.1937,0.2008,0.8561,0.8033,0.000050,2.84
35,0.1808,0.1886,0.8630,0.8036,0.000050,3.19
36,0.1635,0.1603,0.8702,0.8120,0.000050,2.88
37,0.1749,0.1607,0.8674,0.8117,0.000050,3.05
38,0.1568,0.1840,0.8754,0.8232,0.000050,2.92
39,0.1593,0.1607,0.8568,0.8018,0.000050,2.94
40,0.1697,0.1667,0.8682,0.8168,0.000050,2.93
41,0.1685,0.1883,0.8755,0.8147,0.000050,3.04
42,0.1512,0.1639,0.8781,0.8248,0.000050,2.87
43,0.1480,0.1647,0.8720,0.8208,0.000050,2.93
44,0.1463,0.1573,0.8804,0.8272,0.000050,2.99
45,0.1431,0.1689,0.8772,0.8239,0.000050,2.95
46,0.1630,0.1752,0.8764,0.8250,0.000050,2.97
47,0.1566,0.1787,0.8747,0.8185,0.000050,3.03
48,0.1628,0.1795,0.8810,0.8252,0.000050,3.19
49,0.1398,0.1595,0.8753,0.8193,0.000050,2.96
50,0.1492,0.1542,0.8769,0.8240,0.000050,2.95
